,total_votes,per_dem,per_gop,state_abbr,county_name,total_pop,Alabama,Alabama_CountyPopulation,Alabama_Votes,Alabama_gop,Alabama_dem,Arkansas,Arkansas_Votes,Arizona,Arizona_Votes,California,California_Votes
1,24661,0.23956855,0.734357893,AL,Autauga County,"58,805",Autauga County,"58,805",24661,0.734357893,0.23956855,Arkansas,6167,Apache County,18659,Alameda County,613195
2,94090,0.195653098,0.77351472,AL,Baldwin County,"231,767",Baldwin County,"231,767",94090,0.77351472,0.195653098,Ashley County,8027,Cochise County,43147,Alpine County,575
3,10390,0.466602502,0.522714148,AL,Barbour County,"25,223",Barbour County,"25,223",10390,0.522714148,0.466602502,Baxter County,19572,Coconino County,44929,Amador County,17186
4,8748,0.214220393,0.769661637,AL,Bibb County,"22,293",Bibb County,"22,293",8748,0.769661637,0.214220393,Benton County,94262,Gila County,21398,Butte County,87847
5,25384,0.084699023,0.898518752,AL,Blount County,"59,134",Blount County,"59,134",25384,0.898518752,0.084699023,Boone County,15912,Graham County,11939,Calaveras County,22334
6,4701,0.750904063,0.242288875,AL,Bullock County,"10,357",Bullock County,"10,357",4701,0.242288875,0.750904063,Bradley County,3617,Greenlee County,3243,Colusa County,6594
7,8685,0.427864134,0.563154865,AL,Butler County,"19,051",Butler County,"19,051",8685,0.563154865,0.427864134,Calhoun County,2250,La Paz County,4931,Contra Costa County,415972
8,47376,0.278558764,0.692396994,AL,Calhoun County,"116,441",Calhoun County,"116,441",47376,0.692396994,0.278558764,Carroll County,10656,Maricopa County,1201934,Del Norte County,9361
9,13778,0.418275512,0.56633764,AL,Chambers County,"34,772",Chambers County,"34,772",13778,0.56633764,0.418275512,Chicot County,4149,Mohave County,74189,El Dorado County,89228
10,10503,0.1451014,0.838712749,AL,Cherokee County,"24,971",Cherokee County,"24,971",10503,0.838712749,0.1451014,Clark County,8365,Navajo County,35409,Fresno County,250264
11,18255,0.159353602,0.825417694,AL,Chilton County,"45,014",Chilton County,"45,014",18255,0.825417694,0.159353602,Clay County,5978,Pima County,360762,Glenn County,9379
12,7268,0.427765548,0.564391855,AL,Choctaw County,"12,665",Choctaw County,"12,665",7268,0.564391855,0.427765548,Cleburne County,11968,Pinal County,93805,Humboldt County,33636
13,12936,0.441558442,0.549551639,AL,Clarke County,"23,087",Clarke County,"23,087",12936,0.549551639,0.441558442,Cleveland County,3299,Santa Cruz County,14926,Imperial County,41751
14,6572,0.187766281,0.795800365,AL,Clay County,"14,236",Clay County,"14,236",6572,0.795800365,0.187766281,Columbia County,8837,Yavapai County,92780,Inyo County,7996
15,6532,0.104715248,0.878444581,AL,Cleburne County,"15,056",Cleburne County,"15,056",6532,0.878444581,0.104715248,Conway County,7837,Yuma County,40759,Kern County,217725
16,20513,0.204455711,0.771462,AL,Coffee County,"53,465",Coffee County,"53,465",20513,0.771462,0.204455711,Craighead County,34968,,,Kings County,32250
17,24626,0.296272233,0.678875985,AL,Colbert County,"57,227",Colbert County,"57,227",24626,0.678875985,0.296272233,Crawford County,22155,,,Lake County,13045
18,6543,0.469050894,0.521626165,AL,Conecuh County,"11,597",Conecuh County,"11,597",6543,0.521626165,0.469050894,Crittenden County,15798,,,Lassen County,10422
19,5223,0.340800306,0.646371817,AL,Coosa County,"10,387",Coosa County,"10,387",5223,0.646371817,0.340800306,Cross County,6831,,,Los Angeles County,2652072
20,15818,0.15039828,0.835883171,AL,Covington County,"37,570",Covington County,"37,570",15818,0.835883171,0.15039828,Dallas County,2741,,,Madera County,34263
21,6252,0.265994882,0.721529111,AL,Crenshaw County,"13,194",Crenshaw County,"13,194",6252,0.721529111,0.265994882,Desha County,4226,,,Marin County,109941
22,37278,0.100059016,0.878105049,AL,Cullman County,"87,866",Cullman County,"87,866",37278,0.878105049,0.100059016,Drew County,6552,,,Mariposa County,8877
23,18617,0.236772842,0.741150561,AL,Dale County,"49,326",Dale County,"49,326",18617,0.741150561,0.236772842,Faulkner County,46364,,,Mendocino County,11435
24,18730,0.684783769,0.308809397,AL,Dallas County,"38,462",Dallas County,"38,462",18730,0.308809397,0.684783769,Franklin County,6698,,,Merced County,42523
25,26086,0.141148509,0.834892279,AL,DeKalb County,"71,608",DeKalb County,"71,608",26086,0.834892279,0.141148509,Fulton County,4744,,,Modoc County,3359
26,36905,0.228586912,0.748380978,AL,Elmore County,"87,977",Elmore County,"87,977",36905,0.748380978,0.228586912,Garland County,40337,,,Mono County,5154
27,15213,0.308814829,0.675869322,AL,Escambia County,"36,757",Escambia County,"36,757",15213,0.675869322,0.308814829,Grant County,6855,,,Monterey County,96676
28,43474,0.238073331,0.739108433,AL,Etowah County,"103,436",Etowah County,"103,436",43474,0.739108433,0.238073331,Greene County,14422,,,Napa County,40393
29,8196,0.165690581,0.818081991,AL,Fayette County,"16,321",Fayette County,"16,321",8196,0.818081991,0.165690581,Hempstead County,6984,,,Nevada County,33258
30,11955,0.18377248,0.791802593,AL,Franklin County,"32,113",Franklin County,"32,113",11955,0.791802593,0.18377248,Hot Spring County,11815,,,Orange County,1092116
31,11659,0.130542928,0.854876061,AL,Geneva County,"26,659",Geneva County,"26,659",11659,0.854876061,0.130542928,Howard County,4634,,,Placer County,150532
32,4862,0.823940765,0.172357055,AL,Greene County,"7,730",Greene County,"7,730",4862,0.172357055,0.823940765,Independence County,13443,,,Plumas County,8830
33,8010,0.595755306,0.396004994,AL,Hale County,"14,785",Hale County,"14,785",8010,0.396004994,0.595755306,Izard County,5396,,,Riverside County,683612
34,8017,0.285144069,0.701384558,AL,Henry County,"17,146",Henry County,"17,146",8017,0.701384558,0.285144069,Jackson County,5093,,,Sacramento County,467526
35,42030,0.250939805,0.727266238,AL,Houston County,"107,202",Houston County,"107,202",42030,0.727266238,0.250939805,Jefferson County,25683,,,San Benito County,17572
36,20785,0.17623286,0.800721674,AL,Jackson County,"52,579",Jackson County,"52,579",20785,0.800721674,0.17623286,Johnson County,8997,,,San Bernardino County,598783
37,290111,0.522493115,0.450220778,AL,Jefferson County,"674,721",Jefferson County,"674,721",290111,0.450220778,0.522493115,Lafayette County,2835,,,San Diego County,1011651
38,6931,0.149329101,0.839561391,AL,Lamar County,"13,972",Lamar County,"13,972",6931,0.839561391,0.149329101,Lawrence County,5629,,,San Francisco County,365295
39,38813,0.254476593,0.714580166,AL,Lauderdale County,"93,564",Lauderdale County,"93,564",38813,0.714580166,0.254476593,Lee County,3004,,,San Joaquin County,166647
40,14623,0.246939752,0.73391233,AL,Lawrence County,"33,073",Lawrence County,"33,073",14623,0.73391233,0.246939752,Lincoln County,3814,,,San Luis Obispo County,124575
